C:\Users\Healthy\AppData\Local\Programs\Python\Python38-32\python.exe "C:/Users/Healthy/Desktop/AI Project 1/actual main.py"
3*3 - Hamming
Puzzle Number     Nodes Expanded     Steps Taken            Puzzle
---------------------------------------------------------------------------
total nodes for Hamming:  1651333 , total steps for Hamming:  2156
---------------------------------------------------------------------------
3*3 - Manhattan
Puzzle Number     Nodes Expanded     Steps Taken            Puzzle
---------------------------------------------------------------------------
1                           1381              21    [3, 1, 0, 4, 6, 2, 8, 7, 5]             
2                            504              23    [7, 8, 4, 1, 5, 2, 0, 6, 3]             
3                           2942              25    [0, 1, 4, 5, 2, 8, 3, 7, 6]             
4                           3358              25    [5, 3, 0, 7, 6, 8, 4, 1, 2]             
5                            167              17    [1, 5, 4, 8, 0, 2, 3, 7, 6]             
6                            909              20    [1, 0, 5, 3, 4, 8, 7, 2, 6]             
7                            383              18    [4, 3, 6, 7, 1, 0, 2, 8, 5]             
8                            891              23    [5, 4, 8, 3, 6, 2, 0, 7, 1]             
9                            315              16    [1, 2, 6, 0, 4, 3, 7, 8, 5]             
10                          7009              27    [8, 6, 5, 1, 7, 3, 2, 4, 0]             
11                           724              21    [7, 2, 0, 3, 8, 6, 1, 5, 4]             
12                           359              23    [6, 8, 4, 5, 3, 1, 0, 7, 2]             
13                          1745              24    [8, 6, 1, 3, 4, 5, 7, 0, 2]             
14                          2757              24    [1, 7, 8, 0, 2, 3, 5, 6, 4]             
15                           262              18    [7, 1, 3, 6, 8, 0, 5, 4, 2]             
16                           177              18    [1, 0, 8, 4, 6, 3, 2, 5, 7]             
17                           233              19    [7, 4, 1, 5, 8, 3, 6, 2, 0]             
18                          1730              23    [0, 5, 1, 8, 6, 3, 7, 4, 2]             
19                           727              20    [1, 7, 2, 3, 5, 6, 8, 0, 4]             
20                           829              22    [3, 5, 2, 0, 7, 8, 4, 6, 1]             
21                           100              15    [1, 3, 6, 8, 7, 5, 0, 4, 2]             
22                           177              17    [1, 2, 5, 8, 4, 7, 0, 6, 3]             
23                          1442              22    [6, 8, 3, 0, 4, 2, 7, 1, 5]             
24                           152              17    [1, 6, 5, 3, 2, 8, 0, 4, 7]             
25                           335              18    [1, 2, 4, 0, 7, 5, 3, 8, 6]             
26                           330              18    [6, 2, 3, 8, 1, 5, 4, 0, 7]             
27                          1363              23    [1, 4, 5, 8, 6, 7, 2, 3, 0]             
28                           760              20    [4, 0, 2, 3, 8, 5, 7, 1, 6]             
29                           987              22    [5, 6, 4, 3, 8, 2, 7, 0, 1]             
30                           869              22    [5, 2, 7, 4, 6, 0, 8, 3, 1]             
31                          2646              25    [7, 6, 4, 2, 8, 5, 1, 3, 0]             
32                          1009              20    [5, 2, 1, 4, 6, 0, 8, 7, 3]             
33                           653              23    [8, 7, 1, 5, 3, 2, 6, 4, 0]             
34                          1387              24    [3, 4, 7, 0, 2, 8, 5, 6, 1]             
35                           340              17    [1, 4, 2, 5, 3, 8, 7, 6, 0]             
36                           634              21    [0, 5, 1, 6, 3, 2, 8, 4, 7]             
37                           140              15    [1, 7, 2, 4, 0, 3, 6, 8, 5]             
38                          3147              25    [7, 6, 0, 1, 3, 5, 8, 2, 4]             
39                           502              18    [3, 0, 6, 1, 2, 4, 5, 7, 8]             
40                          1356              23    [4, 6, 2, 3, 1, 7, 5, 8, 0]             
41                           561              22    [6, 1, 2, 5, 7, 0, 3, 8, 4]             
42                           394              23    [4, 8, 5, 2, 6, 7, 3, 1, 0]             
43                           851              21    [7, 1, 2, 3, 4, 5, 6, 8, 0]             
44                           999              23    [4, 1, 7, 3, 8, 2, 6, 5, 0]             
45                          1412              24    [3, 6, 4, 0, 5, 8, 7, 2, 1]             
46                          1722              24    [1, 6, 4, 7, 5, 8, 3, 0, 2]             
47                           418              19    [3, 5, 4, 1, 8, 6, 7, 2, 0]             
48                           428              21    [4, 5, 1, 7, 0, 8, 3, 6, 2]             
49                           635              22    [8, 2, 4, 6, 5, 1, 7, 0, 3]             
50                            45              15    [1, 6, 8, 2, 3, 7, 5, 4, 0]             
51                            12              10    [2, 0, 3, 1, 6, 8, 5, 4, 7]             
52                           276              19    [2, 3, 8, 4, 0, 7, 6, 5, 1]             
53                          1421              23    [8, 4, 6, 5, 0, 3, 2, 1, 7]             
54                           659              23    [0, 2, 4, 8, 6, 7, 5, 1, 3]             
55                           798              21    [6, 8, 0, 1, 3, 4, 7, 5, 2]             
56                          3449              26    [8, 3, 2, 0, 6, 1, 5, 4, 7]             
57                           541              21    [4, 6, 1, 8, 0, 7, 2, 3, 5]             
58                          1293              24    [8, 2, 7, 6, 3, 1, 4, 0, 5]             
59                            92              16    [8, 1, 2, 6, 3, 0, 4, 5, 7]             
60                          3436              25    [8, 2, 0, 7, 3, 6, 4, 1, 5]             
61                          7339              27    [8, 5, 7, 1, 0, 4, 2, 3, 6]             
62                           356              18    [5, 0, 2, 4, 1, 6, 3, 7, 8]             
63                          1652              24    [1, 2, 4, 6, 8, 0, 3, 5, 7]             
64                           752              22    [4, 7, 2, 0, 8, 5, 3, 1, 6]             
65                          1390              23    [8, 3, 0, 5, 2, 1, 7, 6, 4]             
66                          3548              27    [0, 3, 7, 2, 5, 1, 6, 8, 4]             
67                          2369              25    [4, 8, 0, 1, 2, 7, 6, 3, 5]             
68                           731              22    [1, 4, 8, 0, 2, 5, 6, 7, 3]             
69                          5102              28    [5, 4, 7, 3, 1, 8, 6, 0, 2]             
70                           694              22    [8, 0, 5, 4, 2, 6, 3, 1, 7]             
71                           421              20    [1, 2, 4, 6, 8, 0, 5, 7, 3]             
72                          4852              26    [5, 7, 8, 0, 3, 4, 1, 2, 6]             
73                          1569              23    [6, 2, 0, 8, 3, 1, 4, 5, 7]             
74                           705              23    [5, 3, 0, 8, 7, 4, 6, 2, 1]             
75                           368              21    [4, 2, 8, 6, 7, 5, 0, 3, 1]             
76                           807              21    [5, 6, 3, 4, 2, 8, 7, 1, 0]             
77                          1548              24    [2, 8, 7, 4, 1, 0, 3, 5, 6]             
78                           802              25    [6, 7, 0, 5, 8, 4, 2, 1, 3]             
79                           251              20    [8, 3, 6, 0, 5, 7, 2, 1, 4]             
80                           313              18    [2, 4, 1, 0, 8, 6, 7, 5, 3]             
81                           600              18    [2, 4, 5, 1, 3, 0, 7, 6, 8]             
82                           371              19    [1, 6, 0, 4, 2, 7, 5, 8, 3]             
83                          1599              22    [5, 0, 1, 4, 2, 8, 3, 7, 6]             
84                           692              20    [7, 0, 5, 1, 6, 3, 4, 8, 2]             
85                           358              22    [8, 1, 5, 3, 2, 7, 6, 0, 4]             
86                          2242              24    [8, 6, 2, 0, 4, 5, 7, 3, 1]             
